pincode,historical_pincode_rto_rate,pincode_tier
100120,0.1318,2
100121,0.1696,3
100122,0.069,2
100123,0.0558,2
100124,0.22,3
100125,0.073,2
100126,0.1898,1
100127,0.1623,3
100128,0.2253,2
100129,0.156,2
100130,0.2388,2
100131,0.0931,2
100132,0.0796,1
100133,0.1483,2
100134,0.4821,3
100135,0.04,1
100136,0.4103,2
100137,0.0936,1
100138,0.4004,2
100139,0.3644,2
100140,0.2066,3
100141,0.0624,1
100142,0.0519,1
100143,0.2302,2
100144,0.1971,3
100145,0.0686,3
100146,0.1821,1
100147,0.0576,1
100148,0.1372,3
100149,0.2402,1
100150,0.0637,3
100151,0.094,1
100152,0.1796,3
100153,0.3067,1
100154,0.2245,2
100155,0.0894,2
100156,0.1735,1
100157,0.2396,2
100158,0.0985,2
100159,0.2022,3
100160,0.3887,3
100161,0.1151,2
100162,0.3734,2
100163,0.4267,2
100164,0.1145,2
100165,0.1266,3
100166,0.3713,1
100167,0.1314,1
100168,0.0735,2
100169,0.0675,1
100170,0.4685,1
100171,0.04,1
100172,0.0605,3
100173,0.2139,3
100174,0.4295,3
100175,0.2622,2
100176,0.2899,3
100177,0.5484,1
100178,0.1194,3
100179,0.2376,2
100180,0.1085,3
100181,0.1747,1
100182,0.1626,2
100183,0.2907,3
100184,0.268,2
100185,0.1159,2
100186,0.0722,1
100187,0.0973,2
100188,0.5025,1
100189,0.1278,1
100190,0.0843,3
100191,0.3803,2
100192,0.1348,2
100193,0.1441,2
100194,0.1683,3
100195,0.2359,1
100196,0.3654,2
100197,0.1184,1
100198,0.3654,2
100199,0.2997,3
100200,0.1585,2
100201,0.3287,3
100202,0.3764,2
100203,0.2282,3
100204,0.55,2
100205,0.3891,1
100206,0.2894,3
100207,0.4249,3
100208,0.4042,1
100209,0.0509,3
100210,0.04,1
100211,0.0934,3
100212,0.4033,3
100213,0.1571,2
100214,0.0836,3
100215,0.1146,1
100216,0.2398,1
100217,0.2936,1
100218,0.1323,2
100219,0.2987,3
100220,0.2915,1
100221,0.4781,2
100222,0.2493,3
100223,0.55,1
100224,0.1897,3
100225,0.1121,1
100226,0.3715,3
100227,0.4708,2
100228,0.0731,2
100229,0.1064,1
100230,0.2525,2
100231,0.3985,3
100232,0.0687,1
100233,0.2321,3
100234,0.4839,2
100235,0.2797,3
100236,0.1878,2
100237,0.5025,2
100238,0.3111,1
100239,0.3711,2
100240,0.4536,1
100241,0.3027,2
100242,0.1733,1
100243,0.3093,2
100244,0.2613,2
100245,0.1218,1
100246,0.55,3
100247,0.2961,2
100248,0.3921,3
100249,0.3004,1
100250,0.0516,1
100251,0.2824,2
100252,0.1214,1
100253,0.09,1
100254,0.2145,2
100255,0.1793,1
100256,0.4914,3
100257,0.1473,1
100258,0.1196,1
100259,0.1529,2
100260,0.3542,3
100261,0.0511,1
100262,0.3119,1
100263,0.2382,3
100264,0.325,3
100265,0.1981,2
100266,0.3184,2
100267,0.3152,2
100268,0.1257,2
100269,0.0581,2
100270,0.2893,1
100271,0.3003,1
100272,0.2201,1
100273,0.0487,3
100274,0.2439,2
100275,0.1063,2
100276,0.3232,2
100277,0.5129,3
100278,0.3562,1
100279,0.1605,1
100280,0.1712,1
100281,0.0563,2
100282,0.16,3
100283,0.2405,2
100284,0.4283,2
100285,0.1578,3
100286,0.3392,1
100287,0.3074,2
100288,0.0624,2
100289,0.215,2
100290,0.3032,3
100291,0.1939,1
100292,0.5385,3
100293,0.3316,1
100294,0.2472,2
100295,0.2375,2
100296,0.4141,3
100297,0.0716,2
100298,0.1455,1
100299,0.2095,1
100300,0.2199,2
100301,0.1466,3
100302,0.2546,1
100303,0.04,3
100304,0.2497,2
100305,0.04,1
100306,0.2464,1
100307,0.1179,2
100308,0.4391,1
100309,0.1294,1
100310,0.3167,2
100311,0.3522,3
100312,0.1313,1
100313,0.0827,1
100314,0.178,1
100315,0.1619,2
100316,0.1688,3
100317,0.281,3
100318,0.1073,3
100319,0.1663,3
100320,0.1516,1
100321,0.3928,1
100322,0.1535,2
100323,0.3028,3
100324,0.5453,3
100325,0.3277,1
100326,0.1749,1
100327,0.2022,1
100328,0.2818,1
100329,0.1546,2
100330,0.04,2
100331,0.1133,2
100332,0.1249,1
100333,0.251,3
100334,0.1745,2
100335,0.2619,3
100336,0.2424,3
100337,0.317,1
100338,0.04,1
100339,0.2836,3
100340,0.3535,2
100341,0.4741,1
100342,0.0654,2
100343,0.1846,2
100344,0.2872,3
100345,0.149,1
100346,0.55,3
100347,0.3956,3
100348,0.213,1
100349,0.3303,1
100350,0.04,2
100351,0.3455,1
100352,0.3462,1
100353,0.08,2
100354,0.2363,3
100355,0.502,3
100356,0.2443,1
100357,0.1273,3
100358,0.323,1
100359,0.2673,3
100360,0.1213,3
100361,0.4352,3
100362,0.0451,1
100363,0.4577,3
100364,0.1726,1
100365,0.099,2
100366,0.1426,2
100367,0.2619,1
100368,0.3234,1
100369,0.3738,3
100370,0.2019,2
100371,0.1523,2
100372,0.218,2
100373,0.0577,2
100374,0.3109,3
100375,0.0912,1
100376,0.1292,3
100377,0.4755,3
100378,0.1791,2
100379,0.1817,1
100380,0.0991,1
100381,0.1297,3
100382,0.184,3
100383,0.1627,1
100384,0.1135,1
100385,0.3001,1
100386,0.3462,1
100387,0.0935,3
100388,0.1454,3
100389,0.55,1
100390,0.1899,3
100391,0.045,1
100392,0.1255,2
100393,0.3012,2
100394,0.0429,3
100395,0.408,3
100396,0.3463,1
100397,0.3363,1
100398,0.1124,1
100399,0.2029,1
100400,0.3091,3
100401,0.1466,3
100402,0.4591,1
100403,0.2078,3
100404,0.2636,2
100405,0.1978,2
100406,0.1162,2
100407,0.4444,1
100408,0.2534,3
100409,0.0946,1
100410,0.24,1
100411,0.55,1
100412,0.1037,1
100413,0.2444,1
100414,0.1994,1
100415,0.3482,3
100416,0.3374,3
100417,0.1507,1
100418,0.1399,1
100419,0.226,2
100420,0.55,3
100421,0.0569,3
100422,0.4162,3
100423,0.0922,2
100424,0.1958,2
100425,0.1259,1
100426,0.4006,3
100427,0.2397,3
100428,0.4508,1
100429,0.2619,3
100430,0.1986,1
100431,0.0947,3
100432,0.4587,3
100433,0.0907,1
100434,0.2652,2
100435,0.5015,1
100436,0.4204,2
100437,0.2843,3
100438,0.21,1
100439,0.1826,2
100440,0.04,3
100441,0.2127,1
100442,0.2042,1
100443,0.3261,2
100444,0.0972,2
100445,0.3138,2
100446,0.2163,1
100447,0.1986,3
100448,0.1938,2
100449,0.1589,1
100450,0.159,3
100451,0.3192,3
100452,0.3447,2
100453,0.0773,1
100454,0.189,2
100455,0.0427,2
100456,0.2844,1
100457,0.2751,2
100458,0.4776,3
100459,0.55,1
100460,0.3366,3
100461,0.3365,1
100462,0.3005,3
100463,0.1585,2
100464,0.4363,1
100465,0.4449,3
100466,0.1466,1
100467,0.2132,2
100468,0.2545,1
100469,0.295,3
100470,0.4652,3
100471,0.55,3
100472,0.068,2
100473,0.189,2
100474,0.1397,2
100475,0.1098,3
100476,0.04,3
100477,0.04,1
100478,0.0998,2
100479,0.04,1
100480,0.1085,1
100481,0.3374,3
100482,0.0917,1
100483,0.0824,3
100484,0.2878,2
100485,0.333,1
100486,0.3529,2
100487,0.3085,2
100488,0.5437,3
100489,0.0805,2
100490,0.1555,3
100491,0.3404,3
100492,0.3318,3
100493,0.04,2
100494,0.4143,1
100495,0.1865,2
100496,0.3558,1
100497,0.2555,2
100498,0.3707,3
100499,0.119,2
100500,0.2367,1
100501,0.3316,2
100502,0.1368,3
100503,0.2298,3
100504,0.2816,1
100505,0.1036,2
100506,0.1428,2
100507,0.3242,1
100508,0.2298,1
100509,0.04,1
100510,0.2166,3
100511,0.0919,3
100512,0.2879,3
100513,0.0428,3
100514,0.2249,3
100515,0.1181,1
100516,0.0991,3
100517,0.2098,1
100518,0.2041,2
100519,0.066,2
100520,0.3053,2
100521,0.2235,1
100522,0.1502,1
100523,0.3826,3
100524,0.1677,1
100525,0.3625,1
100526,0.1241,3
100527,0.0421,1
100528,0.2079,3
100529,0.2255,3
100530,0.1191,2
100531,0.1087,1
100532,0.2593,1
100533,0.1323,1
100534,0.2156,2
100535,0.2499,1
100536,0.2185,2
100537,0.55,1
100538,0.1385,2
100539,0.0756,1
100540,0.2172,3
100541,0.226,1
100542,0.0717,1
100543,0.2293,1
100544,0.2488,3
100545,0.2095,1
100546,0.2392,2
100547,0.0526,2
100548,0.1208,2
100549,0.2996,3
100550,0.0708,3
100551,0.4694,2
100552,0.1647,3
100553,0.0713,1
100554,0.3228,3
100555,0.361,2
100556,0.18,3
100557,0.1321,3
100558,0.1819,3
100559,0.127,3
100560,0.4698,2
100561,0.3908,1
100562,0.337,2
100563,0.3035,1
100564,0.2035,3
100565,0.04,1
100566,0.0622,1
100567,0.2502,1
100568,0.0886,2
100569,0.211,2
100570,0.1033,3
100571,0.2205,2
100572,0.1451,1
100573,0.1049,1
100574,0.2012,1
100575,0.4283,2
100576,0.4041,3
100577,0.0769,2
100578,0.1807,3
100579,0.2337,1
100580,0.3167,1
100581,0.1199,3
100582,0.4297,1
100583,0.0891,1
100584,0.2291,2
100585,0.3021,3
100586,0.1261,3
100587,0.2203,1
100588,0.1619,3
100589,0.2991,3
100590,0.1417,3
100591,0.0579,3
100592,0.3247,1
100593,0.1,3
100594,0.1134,1
100595,0.2509,3
100596,0.2339,2
100597,0.1551,3
100598,0.1965,2
100599,0.1697,2
100600,0.0792,2
100601,0.2189,3
100602,0.1766,3
100603,0.04,1
100604,0.3788,3
100605,0.2825,2
100606,0.2886,1
100607,0.1288,2
100608,0.55,3
100609,0.4794,3
100610,0.4109,3
100611,0.2069,2
100612,0.3095,3
100613,0.3394,2
100614,0.2702,3
100615,0.0684,2
100616,0.1265,1
100617,0.3712,1
100618,0.1816,1
100619,0.1321,1
100620,0.206,2
100621,0.0463,2
100622,0.292,1
100623,0.2472,2
100624,0.0604,2
100625,0.1212,1
100626,0.0661,2
100627,0.2871,2
100628,0.157,2
100629,0.1008,2
100630,0.4918,3
100631,0.303,1
100632,0.2035,2
100633,0.2184,2
100634,0.1851,1
100635,0.232,3
100636,0.1241,1
100637,0.4771,1
100638,0.2901,3
100639,0.1756,3
100640,0.229,3
100641,0.1905,3
100642,0.1144,3
100643,0.3849,2
100644,0.0433,3
100645,0.0933,1
100646,0.3851,2
100647,0.3951,2
100648,0.1844,3
100649,0.118,3
100650,0.1045,2
100651,0.2024,2
100652,0.0663,1
100653,0.2623,3
100654,0.2779,2
100655,0.195,2
100656,0.2575,3
100657,0.3062,2
100658,0.1837,1
100659,0.2004,1
100660,0.55,1
100661,0.2711,3
100662,0.2957,1
100663,0.2284,1
100664,0.2168,2
100665,0.2392,3
100666,0.2975,2
100667,0.0756,3
100668,0.3735,3
100669,0.191,1
100670,0.0596,3
100671,0.0882,2
100672,0.0921,2
100673,0.0466,1
100674,0.2054,2
100675,0.2843,3
100676,0.1486,2
100677,0.1319,1
100678,0.082,2
100679,0.2966,3
100680,0.3913,3
100681,0.1273,1
100682,0.1355,3
100683,0.3428,3
100684,0.2126,1
100685,0.1246,3
100686,0.2158,2
100687,0.0655,2
100688,0.1501,2
100689,0.1682,3
100690,0.2458,3
100691,0.3945,3
100692,0.2682,3
100693,0.1973,3
100694,0.1795,1
100695,0.112,1
100696,0.3076,3
100697,0.449,2
100698,0.1925,1
100699,0.2781,1
100700,0.1264,2
100701,0.2929,2
100702,0.3225,1
100703,0.2663,1
100704,0.3674,1
100705,0.3333,2
100706,0.2725,1
100707,0.2305,2
100708,0.2268,2
100709,0.1474,2
100710,0.0504,3
100711,0.3273,2
100712,0.3095,3
100713,0.3363,3
100714,0.04,3
100715,0.1077,3
100716,0.2018,2
100717,0.1907,2
100718,0.2702,1
100719,0.1694,2
100720,0.081,1
100721,0.4722,3
100722,0.3391,3
100723,0.1081,1
100724,0.371,3
100725,0.302,1
100726,0.0565,3
100727,0.126,1
100728,0.1335,2
100729,0.3096,2
100730,0.2207,3
100731,0.151,2
100732,0.1623,3
100733,0.2608,3
100734,0.1311,1
100735,0.4723,3
100736,0.4008,3
100737,0.2454,2
100738,0.3499,3
100739,0.2612,3
100740,0.3358,3
100741,0.1953,3
100742,0.55,2
100743,0.4716,1
100744,0.04,3
100745,0.1088,2
100746,0.2648,2
100747,0.301,1
100748,0.0992,1
100749,0.3459,1
100750,0.1547,3
100751,0.2253,1
100752,0.2271,1
100753,0.1291,3
100754,0.2616,2
100755,0.1366,2
100756,0.1024,3
100757,0.04,2
100758,0.3263,1
100759,0.2737,3
100760,0.2254,1
100761,0.1079,2
100762,0.1643,3
100763,0.2809,3
100764,0.1503,2
100765,0.4295,3
100766,0.3287,2
100767,0.2196,2
100768,0.2423,1
100769,0.342,2
100770,0.4836,2
100771,0.4655,3
100772,0.0816,1
100773,0.1457,3
100774,0.1011,3
100775,0.3414,3
100776,0.4046,2
100777,0.127,1
100778,0.1603,1
100779,0.1473,3
100780,0.1062,3
100781,0.55,2
100782,0.1963,1
100783,0.2735,1
100784,0.5239,2
100785,0.4921,2
100786,0.0572,1
100787,0.2059,3
100788,0.2725,2
100789,0.447,1
100790,0.2223,1
100791,0.0807,2
100792,0.2005,3
100793,0.04,3
100794,0.2784,2
100795,0.3023,1
100796,0.2214,3
100797,0.393,2
100798,0.0823,1
100799,0.2739,2
100800,0.1281,1
100801,0.135,1
100802,0.1399,2
100803,0.2897,3
100804,0.2524,3
100805,0.2423,3
100806,0.3361,2
100807,0.1808,1
100808,0.1854,2
100809,0.4676,3
100810,0.0858,1
100811,0.1327,3
100812,0.4496,3
100813,0.3352,1
100814,0.176,3
100815,0.1489,3
100816,0.1374,1
100817,0.3544,1
100818,0.1916,2
100819,0.1185,3
100820,0.3202,1
100821,0.0983,2
100822,0.1561,1
100823,0.3822,2
100824,0.251,2
100825,0.5125,1
100826,0.21,3
100827,0.1922,3
100828,0.1682,3
100829,0.3197,1
100830,0.2057,1
100831,0.2861,1
100832,0.1067,2
100833,0.3335,1
100834,0.2735,3
100835,0.2468,3
100836,0.1595,3
100837,0.3977,1
100838,0.2952,1
100839,0.2449,3
100840,0.0592,1
100841,0.2439,2
100842,0.2375,3
100843,0.1298,1
100844,0.1515,1
100845,0.3521,1
100846,0.1856,1
100847,0.0829,1
100848,0.2138,3
100849,0.0886,2
100850,0.171,3
100851,0.55,3
100852,0.2261,3
100853,0.2674,1
100854,0.2176,1
100855,0.0944,3
100856,0.2152,1
100857,0.1894,1
100858,0.4418,3
100859,0.1719,3
100860,0.3945,3
100861,0.1359,3
100862,0.2505,1
100863,0.0992,3
100864,0.3007,3
100865,0.1314,3
100866,0.0612,3
100867,0.1267,3
100868,0.2773,2
100869,0.1988,1
100870,0.0599,2
100871,0.251,1
100872,0.2031,1
100873,0.1082,1
100874,0.1708,3
100875,0.2192,2
100876,0.2071,2
100877,0.158,3
100878,0.1568,2
100879,0.0949,2
100880,0.1266,1
100881,0.0753,3
100882,0.0647,2
100883,0.1103,1
100884,0.2815,3
100885,0.2053,3
100886,0.2781,1
100887,0.2082,1
100888,0.2507,1
100889,0.1108,1
100890,0.1048,1
100891,0.1976,3
100892,0.2221,2
100893,0.1231,3
100894,0.1695,3
100895,0.1326,2
100896,0.55,2
100897,0.2253,1
100898,0.2105,1
100899,0.1329,2
100900,0.04,1
100901,0.3194,1
100902,0.0686,1
100903,0.1657,3
100904,0.0769,2
100905,0.3677,3
100906,0.3109,2
100907,0.0482,1
100908,0.1017,2
100909,0.1898,1
100910,0.04,3
100911,0.04,1
100912,0.1358,2
100913,0.354,3
100914,0.1167,2
100915,0.3293,2
100916,0.2284,2
100917,0.154,3
100918,0.2992,1
100919,0.112,2
100920,0.2926,3
100921,0.4115,2
100922,0.1306,2
100923,0.04,1
100924,0.04,1
100925,0.1431,3
100926,0.1494,2
100927,0.1733,1
100928,0.2414,2
100929,0.2039,2
100930,0.1118,2
100931,0.1002,3
100932,0.0564,1
100933,0.2362,2
100934,0.2954,2
100935,0.0968,3
100936,0.2673,1
100937,0.1365,1
100938,0.2176,2
100939,0.3804,2
100940,0.1975,3
100941,0.081,2
100942,0.0763,3
100943,0.2062,2
100944,0.0926,1
100945,0.333,1
100946,0.1399,3
100947,0.1912,1
100948,0.2419,3
100949,0.4601,1
100950,0.1107,1
100951,0.2035,1
100952,0.2436,2
100953,0.1679,2
100954,0.1409,3
100955,0.0833,2
100956,0.2977,2
100957,0.3232,2
100958,0.2786,3
100959,0.3949,2
100960,0.2196,1
100961,0.0939,2
100962,0.1859,3
100963,0.0603,1
100964,0.1464,3
100965,0.3385,2
100966,0.2731,2
100967,0.0719,1
100968,0.4844,3
100969,0.072,1
100970,0.2055,1
100971,0.2928,2
100972,0.3151,2
100973,0.0821,2
100974,0.0854,1
100975,0.1183,1
100976,0.1332,1
100977,0.3323,2
100978,0.1284,2
100979,0.1827,2
100980,0.0927,2
100981,0.2495,3
100982,0.1694,2
100983,0.1785,2
100984,0.4031,2
100985,0.04,2
100986,0.0903,2
100987,0.2094,1
100988,0.1207,1
100989,0.1718,3
100990,0.2402,2
100991,0.3,2
100992,0.1354,1
100993,0.2819,2
100994,0.1282,2
100995,0.1865,2
100996,0.1886,2
100997,0.2237,2
100998,0.174,3
100999,0.04,2
